,meta_pin,meta_year,meta_class,char_hd_sf,char_age,char_rooms,char_beds,char_frpl,char_fbath,char_hbath,char_bldg_sf,geo_longitude,geo_latitude
384093,13242070350000,2020.0,278,3906.0,18.0,13.0,4.0,0.0,3.0,1.0,3005.0,-87.6901163308282,41.9500803310692
384094,13242070360000,2020.0,278,3906.0,18.0,13.0,4.0,0.0,3.0,1.0,3005.0,-87.69023218520215,41.9500795499921
384095,13242070370000,2020.0,278,3906.0,18.0,13.0,4.0,0.0,3.0,1.0,3005.0,-87.69034708609018,41.9500787543004
384096,13242070380000,2020.0,278,3906.0,18.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.69046200272174,41.950077989449845
384097,13242070390000,2020.0,278,4116.0,18.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.69058183894816,41.950078538637506
384098,13242080010000,2020.0,203,4508.0,62.0,4.0,2.0,0.0,1.0,1.0,1070.0,-87.69040055550592,41.94840685608753
384099,13242080020000,2020.0,203,3720.0,62.0,5.0,2.0,0.0,1.0,0.0,1070.0,-87.6903977382339,41.94831584122111
384100,13242080030000,2020.0,278,3720.0,6.0,7.0,4.0,1.0,3.0,1.0,2377.0,-87.69039520237735,41.948233556498685
384101,13242080040000,2020.0,203,3720.0,62.0,5.0,3.0,0.0,1.0,0.0,1234.0,-87.69039268449309,41.948151270779576
384102,13242080050000,2020.0,278,3720.0,62.0,8.0,4.0,0.0,3.0,0.0,2066.0,-87.69039014623604,41.94806895641046
384103,13242080060000,2020.0,278,3720.0,62.0,4.0,4.0,0.0,3.0,1.0,2116.0,-87.69038761076558,41.947986644483855
384104,13242080070000,2020.0,203,3720.0,62.0,5.0,3.0,0.0,1.0,0.0,1008.0,-87.69038509312948,41.947904359036464
384105,13242080080000,2020.0,203,3720.0,62.0,4.0,2.0,0.0,1.0,0.0,1008.0,-87.69038255591536,41.9478220449052
384106,13242080090000,2020.0,203,3720.0,62.0,4.0,2.0,0.0,1.0,0.0,1008.0,-87.69038002013525,41.94773973242458
384107,13242080100000,2020.0,203,3720.0,62.0,4.0,2.0,0.0,1.0,0.0,1008.0,-87.69037750142532,41.94765744663859
