,meta_pin,meta_year,meta_class,meta_sale_price,char_hd_sf,char_age,char_rooms,char_beds,char_frpl,char_fbath,char_hbath,char_bldg_sf,geo_longitude,geo_latitude
143373,14191130200000,2016.0,278,1795000.0,3720.0,5.0,10.0,5.0,1.0,3.0,1.0,3170.0,-87.6814678432666,41.951815469555605
143375,14191130270000,2016.0,206,2085738.0,4340.0,118.0,8.0,4.0,1.0,2.0,1.0,3108.0,-87.68145071234605,41.951191338549215
143377,14191130320000,2016.0,206,1200000.0,5445.0,108.0,9.0,4.0,0.0,2.0,2.0,3084.0,-87.68188810233423,41.9507220251338
143378,14191140040000,2014.0,278,1830000.0,4340.0,3.0,8.0,4.0,0.0,3.0,1.0,3446.0,-87.68077054159835,41.9518732529468
143380,14191140070000,2019.0,278,2100000.0,4340.0,5.0,8.0,4.0,2.0,4.0,1.0,3448.0,-87.68076264942854,41.95158505268851
143382,14191140110000,2015.0,204,775000.0,4340.0,112.0,6.0,3.0,0.0,1.0,1.0,2048.0,-87.68075227146302,41.95120105006009
143383,14191140130000,2013.0,208,1990000.0,4960.0,7.0,9.0,4.0,3.0,4.0,1.0,4105.0,-87.68074681621262,41.951002132904875
143384,14191140140000,2019.0,206,1640000.0,7661.0,117.0,8.0,5.0,2.0,2.0,2.0,2604.0,-87.680262965407,41.952136127185845
143385,14191140160000,2015.0,205,860000.0,3720.0,107.0,6.0,4.0,0.0,2.0,0.0,1652.0,-87.68025756563166,41.95194132936561
143386,14191140160000,2019.0,205,845000.0,3720.0,111.0,6.0,4.0,0.0,2.0,0.0,1652.0,-87.68025756563166,41.95194132936561
143388,14191140190000,2013.0,205,680750.0,3410.0,103.0,6.0,3.0,0.0,2.0,0.0,1476.0,-87.68025114024836,41.951704769757285
143391,14191140230000,2018.0,206,1080000.0,3100.0,125.0,8.0,4.0,0.0,2.0,1.0,3492.0,-87.68024283363232,41.951399523366234
143395,14191140300000,2017.0,205,675000.0,3630.0,114.0,10.0,4.0,0.0,1.0,1.0,1802.0,-87.68070212528333,41.9507382099734
143398,14191150080000,2014.0,208,2335000.0,4340.0,7.0,10.0,5.0,2.0,4.0,1.0,4600.0,-87.67954410524727,41.95139500933819
143407,14191150360000,2013.0,206,1080000.0,3720.0,106.0,9.0,4.0,3.0,3.0,1.0,2832.0,-87.67953622972286,41.95111338125758
